Country,solution,path,count
AT,MRS,Email,22
AT,MRS,Email → Email,19
AT,MRS,Email → Email → Email → Email,6
AT,MRS,Email → Email → Email,5
AT,MRS,Email → Email → Email → Email → Email → Email → Email,5
BE,Digital,Email → Email → Email → Email → Email → Email → Email → Email → Follow Up → Email → Follow Up,1
BE,MRS,Email,18
BE,MRS,Email → Email,14
BE,MRS,Email → Email → Email,4
BE,MRS,Email → Email → Email → Email,3
BE,MRS,Email → Email → 2Nd Appointment,2
CA,Digital,Demo,1
CA,Digital,Demo → Review → Review → Meeting,1
CA,Digital,Email → Meeting,1
CA,MRS,Email,22
CA,MRS,Email → Email,6
CA,MRS,Email → Email → Email,5
CA,MRS,1St Appointment,4
CA,MRS,Email → Email → Email → Email → Email → Email → Email,3
CH,MRS,Email,21
CH,MRS,Email → Email,17
CH,MRS,Email → Email → Email → Email,13
CH,MRS,Email → Email → Email,11
CH,MRS,Email → Email → Email → Email → Email → Email,8
DE,MRS,Email,221
DE,MRS,Email → Email,156
DE,MRS,Email → Email → Email,98
DE,MRS,Email → Email → Email → Email,53
DE,MRS,Email → Email → Email → Email → Email,32
DK,MRS,Email,1
Denmark,MRS,Email,21
Denmark,MRS,Email → Email,11
Denmark,MRS,Call,1
Denmark,MRS,Email → Email → Email,1
Denmark,MRS,Follow Up → Email,1
FR,Digital,Call → Call,1
FR,Digital,Call → Call → Call → Email → Call → Call → Call → Call → Call → Call → Email → Call → Call → Call → Email → Email → On-Site → Call → On-Site → On-Site → Call → Email → Email → Email → Email → Email → Call → Call → Call → Call → Email → Call → Call → Email → Email,1
FR,Digital,Call → Email → Email → On-Site,1
FR,Digital,Call → Email → Meeting → Call → Email → Follow Up → Email,1
FR,Digital,Demo → Demo → Demo → Demo → Review → Follow Up → Email → On-Site → Email → Email → On-Site → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Call → Call → Email → Email → Email → Email → Email → Call → Call → Email → Call → Call → Call → Email → Call → Call → Email → On-Site → Call → Call → Call → Email → Call → Call → Call → Call → Review → Email → Call → Call → Email → Call → Call → Email → Call → Call → Call → Email → Call → Email → Call → Email → Email → Call → Call → Call → Email → Email → Email → Email → Email → Email → Email → Email → Call → Email → Email → Call → Email → Email → Email → Call → Call → Email → Email → Email → Email → Email → Email → Call → Email → Call → Email → Email → Call,1
FR,MRS,Email → Email,40
FR,MRS,Email,38
FR,MRS,Call,24
FR,MRS,Email → Call,14
FR,MRS,Call → Call,10
FR,PLS,Email,4
FR,PLS,Call,2
FR,PLS,Email → Email,2
FR,PLS,Call → Call,1
FR,PLS,Email → Call,1
Guadeloupe,MRS,Call → Call → Call → Call → Call → Call → Call → Call → Call → Email → Call → Call → Call → Email → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Email → Email,1
Guadeloupe,MRS,Call → Call → Call → Email → Email → Call,1
Guadeloupe,MRS,Email → Email → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Email → Call → Call,1
Guadeloupe,MRS,Email → Email → Email → Email → Call → Email → Email → Email → Call → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Call → Call → Call → Call → Email → Call → Email → Email → Email → Email → Email → Email → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call → Call,1
